datetime,Vancouver,Portland,San Francisco,Seattle,Los Angeles,San Diego,Las Vegas,Phoenix,Albuquerque,Denver,San Antonio,Dallas,Houston,Kansas City,Minneapolis,Saint Louis,Chicago,Nashville,Indianapolis,Atlanta,Detroit,Jacksonville,Charlotte,Miami,Pittsburgh,Toronto,Philadelphia,New York,Montreal,Boston,Beersheba,Tel Aviv District,Eilat,Haifa,Nahariyya,Jerusalem
01-10-2012 12:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1011,,,
01-10-2012 13:00,,1024,1009,1027,1013,1013,1018,1013,1024,1028,1014,1011,1009,1011,1012,1010,1014,1005,1011,1006,1016,1009,1012,1011,1015,1012,1014,1012,1001,1014,984,1012,1010,1013,1013,990
01-10-2012 14:00,,1024,1009,1027,1013,1013,1018,1013,1024,1028,1014,1011,1008,1011,1012,1010,1014,1004,1011,1006,1015,1009,1012,1011,1015,1011,1014,1012,986,1014,984,1012,1010,1013,1013,990
01-10-2012 15:00,,1024,1009,1028,1013,1013,1018,1013,1024,1028,1014,1011,1008,1011,1012,1010,1014,1004,1011,1006,1015,1009,1012,1011,1015,1011,1014,1012,945,1014,984,1012,1010,1013,1013,990
01-10-2012 16:00,,1024,1009,1028,1013,1013,1018,1013,1024,1028,1014,1011,1008,1011,1012,1010,1014,1004,1011,1006,1015,1009,1012,1011,1015,1010,1014,1012,904,1014,984,1012,1010,1013,1013,990
01-10-2012 17:00,,1024,1009,1029,1013,1013,1018,1013,1024,1028,1014,1011,1008,1011,1012,1010,1014,1004,1011,1006,1015,1009,1012,1011,1015,1010,1014,1012,863,1014,984,1012,1010,1013,1013,990
01-10-2012 18:00,,1024,1010,1030,1013,1013,1018,1013,1024,1028,1014,1011,1008,1011,1012,1010,1014,1004,1011,1006,1015,1009,1012,1011,1015,1009,1014,1012,822,1014,984,1012,1010,1013,1013,990
01-10-2012 19:00,,1024,1010,1031,1013,1013,1018,1013,1024,1028,1014,1011,1008,1011,1012,1010,1014,1004,1011,1006,1015,1009,1012,1011,1015,1009,1014,1012,,1014,984,1012,1010,1013,1013,990
01-10-2012 20:00,,1024,1010,1031,1013,1013,1018,1013,1024,1028,1014,1011,1008,1011,1012,1010,1014,1004,1011,1006,1015,1009,1012,1011,1015,1008,1014,1012,,1014,984,1012,1010,1013,1013,990
01-10-2012 21:00,,1024,1010,1032,1013,1013,1018,1013,1024,1028,1014,1011,1008,1011,1012,1010,1014,1004,1011,1006,1015,1009,1012,1011,1015,1008,1014,1012,,1014,984,1012,1010,1013,1013,990
01-10-2012 22:00,,1024,1011,1033,1013,1013,1018,1013,1024,1028,1014,1011,1008,1011,1012,1010,1014,1004,1011,1006,1015,1009,1012,1011,1015,1007,1014,1012,,1014,984,1012,1010,1013,1013,990
01-10-2012 23:00,,1024,1011,1034,1013,1013,1018,1013,1024,1028,1014,1011,1008,1011,1012,1010,1014,1004,1011,1006,1015,1009,1012,1011,1015,1007,1014,1012,,1014,984,1012,1010,1013,1013,990
02-10-2012 00:00,,1024,1011,1035,1013,1013,1018,1013,1024,1028,1014,1011,1008,1011,1012,1010,1014,1004,1011,1006,1015,1009,1012,1011,1015,1006,1014,1012,,1014,984,1012,1010,1013,1013,990
02-10-2012 01:00,,1024,1011,1035,1013,1013,1018,1013,1024,1028,1014,1011,1008,1011,1012,1010,1014,1004,1011,1006,1015,1009,1012,1011,1015,1006,1014,1012,,1014,984,1012,1010,1013,1013,990
02-10-2012 02:00,,1024,1012,1036,1013,1013,1018,1013,1024,1028,1014,1011,1008,1011,1012,1010,1014,1004,1011,1006,1015,1009,1012,1011,1015,1005,1014,1012,,1014,984,1012,1010,1013,1013,990
02-10-2012 03:00,,1024,1012,1037,1013,1013,1018,1013,1024,1028,1014,1011,1008,1011,1012,1010,1014,1004,1011,1006,1015,1009,1012,1011,1015,1005,1014,1012,,1014,984,1012,1010,1013,1013,990
02-10-2012 04:00,,1024,1012,1038,1013,1013,1018,1013,1024,1028,1014,1011,1008,1011,1012,1010,1014,1004,1011,1006,1015,1009,1012,1011,1015,1004,1014,1012,,1014,984,1012,1010,1013,1013,990
02-10-2012 05:00,,1024,1012,1038,1013,1013,1018,1013,1024,1028,1014,1011,1008,1011,1012,1010,1014,1004,1011,1006,1015,1009,1012,1011,1015,1004,1014,1012,,1014,984,1012,1010,1013,1013,990
02-10-2012 06:00,,1024,1013,1039,1013,1013,1018,1013,1024,1028,1014,1011,1008,1011,1012,1010,1014,1004,1011,1006,1015,1009,1012,1011,1015,1003,1014,1012,,1014,984,1012,1010,1013,1013,990
