datetime,Vancouver,Portland,San Francisco,Seattle,Los Angeles,San Diego,Las Vegas,Phoenix,Albuquerque,Denver,San Antonio,Dallas,Houston,Kansas City,Minneapolis,Saint Louis,Chicago,Nashville,Indianapolis,Atlanta,Detroit,Jacksonville,Charlotte,Miami,Pittsburgh,Toronto,Philadelphia,New York,Montreal,Boston,Beersheba,Tel Aviv District,Eilat,Haifa,Nahariyya,Jerusalem
01-10-2012 12:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,309.1,,,
01-10-2012 13:00,284.63,282.08,289.48,281.8,291.87,291.53,293.41,296.6,285.12,284.61,289.29,289.74,288.27,289.98,286.87,286.18,284.01,287.41,283.85,294.03,284.03,298.17,288.65,299.72,281,286.26,285.63,288.22,285.83,287.17,307.59,305.47,310.58,304.4,304.4,303.5
01-10-2012 14:00,284.6290413,282.083252,289.4749928,281.7972166,291.8681855,291.533501,293.4031413,296.6085085,285.1545582,284.6073055,289.3036488,289.7629742,288.2975758,289.9976354,286.8936356,286.185246,284.054691,287.4213603,283.8893939,294.0353414,284.0697892,298.2052298,288.6501722,299.7325177,281.0247674,286.262541,285.6632078,288.2476762,285.83465,287.1860921,307.59,304.31,310.4957692,304.4,304.4,303.5
01-10-2012 15:00,284.6269979,282.0918665,289.4606181,281.7898326,291.8628445,291.5433551,293.3921771,296.6314874,285.2339516,284.5999178,289.3384968,289.8307669,288.3343434,290.0381506,286.9514008,286.1991941,284.1774122,287.4546369,283.9419192,294.0497022,284.1739647,298.2995952,288.6505817,299.7665795,281.0883187,286.2695184,285.7568241,288.3269397,285.8477895,287.2316716,307.3915127,304.2818413,310.4115385,304.4,304.4,303.5
01-10-2012 16:00,284.6249545,282.100481,289.4462434,281.7824486,291.8575034,291.5532092,293.3812128,296.6544662,285.313345,284.5925301,289.3733447,289.8985597,288.3711111,290.0786658,287.009166,286.2131422,284.3001334,287.4879136,283.9944444,294.064063,284.2781401,298.3939606,288.6509912,299.8006412,281.1518701,286.2764959,285.8504405,288.4062032,285.8609291,287.2772511,307.1451997,304.2380146,310.3273077,304.4,304.4,303.5
01-10-2012 17:00,284.6229111,282.1090955,289.4318687,281.7750646,291.8521623,291.5630633,293.3702486,296.677445,285.3927384,284.5851423,289.4081927,289.9663524,288.4078788,290.1191809,287.0669311,286.2270903,284.4228546,287.5211902,284.0469697,294.0784237,284.3823156,298.488326,288.6514007,299.834703,281.2154215,286.2834733,285.9440568,288.4854666,285.8740687,287.3228306,306.8988867,304.1941879,310.2430769,304.4,304.4,303.5
01-10-2012 18:00,284.6208678,282.11771,289.417494,281.7676805,291.8468213,291.5729175,293.3592844,296.7004238,285.4721318,284.5777546,289.4430407,290.0341452,288.4446465,290.1596961,287.1246963,286.2410384,284.5455758,287.5544669,284.0994949,294.0927845,284.486491,298.5826915,288.6518102,299.8687647,281.2789728,286.2904508,286.0376732,288.5647301,285.8872083,287.3684101,306.6525737,304.1503612,310.1588462,304.4,304.4,303.5
01-10-2012 19:00,284.6188244,282.1263245,289.4031193,281.7602965,291.8414802,291.5827716,293.3483202,296.7234026,285.5515252,284.5703669,289.4778886,290.1019379,288.4814141,290.2002113,287.1824615,286.2549864,284.668297,287.5877436,284.1520202,294.1071453,284.5906665,298.6770569,288.6522197,299.9028265,281.3425242,286.2974283,286.1312895,288.6439936,285.9003479,287.4139896,306.4062606,304.1065344,310.0746154,304.4,304.4,303.5
01-10-2012 20:00,284.616781,282.134939,289.3887446,281.7529125,291.8361391,291.5926257,293.337356,296.7463814,285.6309186,284.5629791,289.5127366,290.1697307,288.5181818,290.2407265,287.2402267,286.2689345,284.7910182,287.6210202,284.2045455,294.1215061,284.6948419,298.7714223,288.6526292,299.9368883,281.4060755,286.3044057,286.2249058,288.7232571,285.9134875,287.4595691,306.1599476,304.0627077,309.9903846,304.4,304.4,303.5
01-10-2012 21:00,284.6147376,282.1435535,289.3743699,281.7455284,291.8307981,291.6024798,293.3263917,296.7693602,285.710312,284.5555914,289.5475846,290.2375234,288.5549495,290.2812417,287.2979919,286.2828826,284.9137394,287.6542969,284.2570707,294.1358668,284.7990174,298.8657877,288.6530387,299.97095,281.4696269,286.3113832,286.3185222,288.8025206,285.9266271,287.5051486,305.9136346,304.018881,309.9061538,304.4,304.4,303.5
01-10-2012 22:00,284.6126942,282.152168,289.3599952,281.7381444,291.825457,291.612334,293.3154275,296.792339,285.7897055,284.5482037,289.5824325,290.3053161,288.5917172,290.3217569,287.3557571,286.2968307,285.0364606,287.6875735,284.309596,294.1502276,284.9031928,298.9601532,288.6534481,300.0050118,281.5331783,286.3183606,286.4121385,288.8817841,285.9397666,287.5507281,305.6673215,303.9750543,309.8219231,304.4,304.4,303.5
01-10-2012 23:00,284.6106508,282.1607825,289.3456205,281.7307604,291.820116,291.6221881,293.3044633,296.8153178,285.8690989,284.540816,289.6172805,290.3731089,288.6284848,290.3622721,287.4135222,286.3107788,285.1591819,287.7208502,284.3621212,294.1645884,285.0073683,299.0545186,288.6538576,300.0390736,281.5967296,286.3253381,286.5057549,288.9610476,285.9529062,287.5963076,305.4210085,303.9312276,309.7376923,304.4,304.4,303.5
02-10-2012 00:00,284.6086074,282.169397,289.3312458,281.7233764,291.8147749,291.6320422,293.2934991,296.8382967,285.9484923,284.5334282,289.6521285,290.4409016,288.6652525,290.4027873,287.4712874,286.3247269,285.2819031,287.7541268,284.4146465,294.1789492,285.1115437,299.148884,288.6542671,300.0731353,281.660281,286.3323156,286.5993712,289.0403111,285.9660458,287.6418871,305.1746955,303.8874008,309.6534615,304.4,304.4,303.5
02-10-2012 01:00,284.606564,282.1780115,289.3168711,281.7159923,291.8094338,291.6418963,293.2825349,296.8612755,286.0278857,284.5260405,289.6869764,290.5086944,288.7020202,290.4433025,287.5290526,286.3386749,285.4046243,287.7874035,284.4671717,294.1933099,285.2157192,299.2432495,288.6546766,300.1071971,281.7238323,286.339293,286.6929876,289.1195746,285.9791854,287.6874666,304.9283824,303.8435741,309.5692308,304.4,304.4,303.5
