datetime,Vancouver,Portland,San Francisco,Seattle,Los Angeles,San Diego,Las Vegas,Phoenix,Albuquerque,Denver,San Antonio,Dallas,Houston,Kansas City,Minneapolis,Saint Louis,Chicago,Nashville,Indianapolis,Atlanta,Detroit,Jacksonville,Charlotte,Miami,Pittsburgh,Toronto,Philadelphia,New York,Montreal,Boston,Beersheba,Tel Aviv District,Eilat,Haifa,Nahariyya,Jerusalem
01-10-2012 12:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,360,,,
01-10-2012 13:00,0,0,150,0,0,0,0,10,360,20,0,340,270,0,330,40,0,70,40,110,0,180,70,200,0,240,270,260,230,60,135,101,30,336,336,329
01-10-2012 14:00,6,4,147,2,0,0,8,9,360,22,5,339,268,6,329,39,0,70,40,110,0,180,70,200,0,236,270,260,230,60,157,315,30,336,336,329
01-10-2012 15:00,20,18,141,10,0,0,23,9,360,31,18,338,265,20,329,38,0,70,40,111,0,180,71,200,0,226,271,260,231,60,157,307,30,336,336,329
01-10-2012 16:00,34,31,135,17,0,0,37,9,360,39,31,337,263,34,329,37,0,70,40,111,0,180,71,200,0,216,272,260,233,60,157,294,30,336,336,329
01-10-2012 17:00,47,44,129,24,0,0,51,8,360,47,44,335,260,49,328,35,0,70,40,112,1,180,72,200,0,206,274,261,234,61,157,282,30,336,336,329
01-10-2012 18:00,61,57,123,32,0,0,65,8,360,55,57,334,258,63,328,34,0,70,40,113,1,180,73,200,0,197,275,261,236,61,157,269,30,336,336,329
01-10-2012 19:00,75,70,117,39,0,0,79,7,360,64,70,333,256,77,327,33,0,70,40,114,2,180,74,200,0,187,276,262,237,62,157,257,30,336,336,329
01-10-2012 20:00,89,83,110,47,0,0,94,7,360,72,83,332,253,92,327,32,0,70,40,115,2,180,75,200,0,177,277,262,238,62,157,245,30,336,336,329
01-10-2012 21:00,102,96,104,54,0,0,108,6,360,80,96,330,251,106,326,30,0,70,40,116,3,180,76,200,0,167,279,263,240,63,157,232,30,336,336,329
01-10-2012 22:00,116,109,98,61,0,0,122,6,360,88,110,329,248,120,326,29,0,70,40,116,3,180,76,200,0,157,280,263,241,63,157,220,30,336,336,329
01-10-2012 23:00,130,123,92,69,0,0,136,6,360,96,123,328,246,135,326,28,0,70,40,117,3,180,77,200,0,147,281,263,243,63,157,208,30,336,336,329
02-10-2012 00:00,144,136,86,76,0,0,151,5,360,105,136,327,243,149,325,27,0,70,40,118,4,180,78,200,0,137,282,264,244,64,157,195,30,336,336,329
02-10-2012 01:00,157,149,80,84,0,0,165,5,360,113,149,326,241,163,325,25,0,70,40,119,4,180,79,200,0,128,283,264,245,64,157,183,30,336,336,329
02-10-2012 02:00,171,162,73,91,0,0,179,4,360,121,162,324,239,178,324,24,0,70,40,120,5,180,80,200,0,118,285,265,247,65,157,170,30,336,336,329
02-10-2012 03:00,185,175,67,98,0,0,193,4,360,129,175,323,236,192,324,23,0,70,40,120,5,180,80,200,0,108,286,265,248,65,157,158,30,336,336,329
02-10-2012 04:00,199,188,61,106,0,0,207,4,360,137,188,322,234,206,324,22,0,70,40,121,5,180,81,200,0,98,287,265,250,65,157,146,30,336,336,329
02-10-2012 05:00,213,201,55,113,0,0,222,3,360,146,201,321,231,221,323,21,0,70,40,122,6,180,82,200,0,88,288,266,251,66,157,133,30,336,336,329
02-10-2012 06:00,226,214,49,120,0,0,236,3,360,154,215,319,229,235,323,19,0,70,40,123,6,180,83,200,0,78,290,266,252,66,157,121,30,336,336,329
