datetime,Vancouver,Portland,San Francisco,Seattle,Los Angeles,San Diego,Las Vegas,Phoenix,Albuquerque,Denver,San Antonio,Dallas,Houston,Kansas City,Minneapolis,Saint Louis,Chicago,Nashville,Indianapolis,Atlanta,Detroit,Jacksonville,Charlotte,Miami,Pittsburgh,Toronto,Philadelphia,New York,Montreal,Boston,Beersheba,Tel Aviv District,Eilat,Haifa,Nahariyya,Jerusalem
01-10-2012 12:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,,,
01-10-2012 13:00,0,0,2,0,0,0,0,2,4,4,0,3,1,0,3,4,0,4,4,3,0,3,4,3,0,3,4,7,4,3,1,0,8,2,2,2
01-10-2012 14:00,0,0,2,0,0,0,0,2,4,4,0,3,1,0,3,4,0,4,4,3,0,3,4,3,0,3,4,7,4,3,3,0,8,2,2,2
01-10-2012 15:00,0,0,2,0,0,0,0,2,4,3,0,3,1,0,3,4,0,4,4,3,0,3,4,3,0,3,3,7,4,3,3,0,8,2,2,2
01-10-2012 16:00,0,0,2,0,0,0,0,2,4,3,0,3,1,0,3,3,0,4,4,3,0,3,4,3,0,3,3,7,4,3,3,0,8,2,2,2
01-10-2012 17:00,0,0,2,0,0,0,0,2,4,3,0,3,1,0,3,3,0,4,4,3,0,3,4,3,0,3,3,6,3,3,3,0,8,2,2,2
01-10-2012 18:00,0,0,2,0,0,0,0,2,4,3,0,3,2,0,3,3,0,4,4,3,0,3,4,3,0,3,3,6,3,3,3,0,8,2,2,2
01-10-2012 19:00,0,0,2,0,0,0,0,2,4,3,0,3,2,0,3,3,0,4,4,3,0,3,4,4,0,3,3,6,3,3,2,1,8,2,2,2
01-10-2012 20:00,0,0,1,0,0,0,0,1,4,3,0,3,2,0,3,3,0,4,4,3,0,3,4,4,0,3,3,6,3,3,2,1,8,2,2,2
01-10-2012 21:00,0,0,1,0,0,0,0,1,4,3,0,3,2,0,3,3,0,4,4,3,0,3,4,4,0,3,3,6,3,3,2,1,8,2,2,2
01-10-2012 22:00,0,0,1,0,0,0,0,1,4,3,0,3,2,0,3,3,0,4,4,3,0,3,4,4,0,3,3,6,3,3,2,1,8,2,2,2
01-10-2012 23:00,0,0,1,0,0,0,0,1,4,3,0,3,2,1,3,3,0,4,4,3,0,3,4,4,0,3,3,6,2,3,2,1,8,2,2,2
02-10-2012 00:00,0,0,1,0,0,0,0,1,4,3,0,3,2,1,4,3,0,4,4,3,0,3,4,4,0,3,2,6,2,3,2,1,8,2,2,2
02-10-2012 01:00,0,0,1,0,0,0,0,1,4,3,0,3,2,1,4,3,0,4,4,3,0,3,4,4,0,3,2,6,2,3,2,1,8,2,2,2
02-10-2012 02:00,0,1,1,0,0,0,1,1,4,3,0,3,3,1,4,3,0,4,4,3,0,3,4,4,0,3,2,6,2,3,2,1,9,2,2,2
02-10-2012 03:00,0,1,1,0,0,0,1,1,4,3,0,3,3,1,4,3,0,4,4,3,0,3,4,4,0,3,2,6,2,3,2,2,9,2,2,2
02-10-2012 04:00,0,1,1,0,0,0,1,1,4,2,0,3,3,1,4,3,0,4,4,3,0,3,4,4,0,3,2,6,1,3,2,2,9,2,2,2
02-10-2012 05:00,0,1,0,0,0,0,1,0,4,2,0,3,3,1,4,3,0,4,4,3,0,3,4,4,0,3,2,6,1,3,2,2,9,2,2,2
02-10-2012 06:00,0,1,0,0,0,0,1,0,4,2,1,3,3,1,4,3,0,4,4,3,1,3,4,5,0,3,2,6,1,3,2,2,9,2,2,2
